Nom;Prenom;Site;TypeUser;Actif;Desactive;Fonction;Departement;Note;Tel2;Mobile;Fax;Login NT;PswdNT;Détruit le;NT Status;Domaine;email;Critique
DELACHANCE;Ella;Paris;Pers;Oui;;AssistantedeDirection;DirectionGenerale;;;M +33 (6) 22 22 22 22;;;;;User;ACME;edelachance@acme.fr;oui
FIRMERIE;Alain;Paris;Pers;Oui;;DirectionGenerale;DirectionGenerale;;;M +33 (6) 11 11 11 11;;;;;User;ACME;afirmerie@acme.fr;oui
KABELLUCHI;Monique;Paris;Pers;Oui;;Accueil;DirectionGenerale;;;M +33 (1) 01 01 01 01;;;;;User;ACME;info@acme.fr;oui
ATTAN;Charles;Paris;Pers;Oui;;DirectionRessourcesHumaines;RessourcesHumaines;;T. +33 (1) 01 01 01 03;;;;;;User;ACME;cattan@acme.fr;oui
VANBUS;Hillary;Paris;Pers;Oui;;DirectionTechnique;DirectionTechnique;;T. +33 (1) 01 01 01 04;;;;;;User;ACME;hvanbus@acme.fr;oui
POTTE;Jack;Paris;Pers;Oui;;DirectionFinanciere;DirectionFinanciere;;T. +33 (1) 01 01 01 05;;;;;;User;ACME;jpotte@acme.fr;oui
DALARME;Cyrène;Paris;Pers;Oui;;DirectionMarketing;DirectionMarketing;;T. +33 (1) 01 01 01 06;;;;;;User;ACME;cdalarme@acme.fr;oui
SCOTT;Debbie;Paris;Pers;Oui;;ResponsableCadres;RessourcesHumaines;;;;;;;;User;ACME;;oui
PERRET;Inès;Paris;Pers;Oui;;ResponsableNonCadres;RessourcesHumaines;;;;;;;;User;ACME;;
MAUVE;Guy;Paris;Pers;Oui;;ResponsablePaye;RessourcesHumaines;;;;;;;;User;ACME;;
KROIPA;Eli;Paris;Pers;Oui;;ResponsableFormation;RessourcesHumaines;;;;;;;;User;ACME;;
ZEPOWER;Agathe;Paris;Pers;Oui;;ResponsableNouveauxProjets;DirectionTechnique;;;;;;;;User;ACME;;
PAMAMOB;Adhémar;Paris;Pers;Oui;;ResponsableSupport;DirectionTechnique;;;;;;;;User;ACME;;
HONNETTE;Camille;Paris;Pers;Oui;;ResponsableLogistique;DirectionTechnique;;;;;;;;User;ACME;;
TEUR;Donna;Paris;Pers;Oui;;ResponsableComptabilite;DirectionFinanciere;;;;;;;;User;ACME;;
KEUGREAU;Iris;Paris;Pers;Oui;;ResponsableBanques;DirectionFinanciere;;;;;;;;User;ACME;;
DONCTOILABA;Eddy;Paris;Pers;Oui;;ResponsableSecurite;DirectionFinanciere;;;;;;;;User;ACME;;
VRANTE;Héléna;Paris;Pers;Oui;;ResponsableMKTOperationnel;DirectionMarketing;;;;;;;;User;ACME;;
VEDERTCHI;Harry;Paris;Pers;Oui;;ResponsableMKTDev;DirectionMarketing;;;;;;;;User;ACME;;
MUDA;Albert;Paris;Pers;Oui;;StagiaireMKT;DirectionMarketing;;;;;;;;User;ACME;;
OURXA;Cécile;Paris;Pers;Non;03/02/2017;StagiaireMKT;DirectionMarketing;A quitté la société;;;;courxa;;03/02/2017;User;ACME;;
